Brightness,Offset_at_75_to_Center,Offset_at_120_to_Center,Offset_at_165_to_Center,Threshold_Gray,Min_Track_width,Red,Blue,Green,Led_Brightness,LEFT_DISTANCE,RIGHT_DISTANCE,ULTRASONIC_SAMPELS
0,0,0,0,0,0,0,0,0,,,,
100,20,29,110,24,19,151,145,188,,,,
100,20,29,110,24,19,151,145,188,,,,
100,20,29,110,24,19,151,145,188,,,,
100,20,29,110,24,19,151,145,188,,,,
100,20,29,110,24,19,151,145,188,,,,
100,20,29,110,24,6,54,84,17,,,,
100,20,29,110,24,1,3,2,5,,,,
100,20,29,110,24,1,3,2,5,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
100,20,29,110,24,1,3,2,6,,,,
0,20,29,110,24,1,3,2,6,,,,
196,20,29,110,24,1,3,2,6,,,,
255,20,29,110,24,1,3,2,6,,,,
255,20,29,110,24,255,163,237,128,,,,
255,20,29,110,24,0,255,0,255,,,,
255,20,29,110,24,0,0,255,255,,,,
255,20,29,110,24,255,0,0,255,,,,
255,20,29,110,24,255,0,0,73,,,,
255,20,29,110,24,255,0,0,0,,,,
255,20,29,110,24,255,0,0,0,,,,
255,20,29,110,24,255,0,0,0,,,,
255,20,29,110,24,255,0,0,0,,,,
255,20,29,110,24,68,98,104,0,,,,
255,20,29,110,24,68,98,104,0,,,,
255,20,29,110,24,68,98,104,0,,,,
255,20,29,110,24,68,98,104,255,,,,
255,20,29,110,24,68,98,104,255,,,,
255,20,29,110,24,68,98,104,255,,,,
255,20,29,110,24,68,98,104,0,,,,
255,20,29,110,24,68,98,104,0,,,,
255,20,29,110,24,68,98,104,0,,,,
